Year,Ampara Maha Total Rainfall,Ampara Maha Average Of Max Temp,Ampara Maha Adjusted Yield (kg/ha),Anuradhapura Yala Total Rainfall,Anuradhapura Yala Adjusted Yield (kg/ha),Polonnaruwa Yala Total Rainfall,Polonnaruwa Yala Adjusted Yield (kg/ha)
1993,1089.462857,28.27450635,3571.516992,328.947,3140.306004,362.5175,4401.712007
1994,371.0621429,29.68818799,3148.807948,315.933,3194.388023,306.2625,4460.592045
1995,175.0678571,30.70906481,3510.366036,98.603,3296.077963,94.4525,4279.905911
1996,168.3271429,31.07742784,3814.706016,160.265,3641.816041,191.6225,4117.465994
1997,674.0878571,29.66212711,4055.488003,284.688,3584.92502,410.105,4295.983006
1998,981.3085714,28.84994406,3901.46,421.634,3786.428003,400.7025,4346.344002
1999,592.6878571,29.05257987,3996.72,344.212,4045.6,421.4075,4383.16
2000,763.46,29.30609965,3977.66,374.978,4206.79,389.1975,4519.1
2001,684.3807143,29.3023396,4105.75,493.596,4333.4,476.195,4747.38
2002,966.2364286,28.61396796,4460.2,280.086,4199.83,316.895,4602.59
2003,688.7514286,29.74863749,4312.52,304.345,3963.21,274.77625,4508.23
2004,1159.78,28.36260125,4515.84,402.064,4056.25,462.97625,4822.93
2005,1036.919286,28.46750208,4361.52,297.446,4217.46,332.73375,4791.01
2006,1143.823571,28.60525546,4552.82,313.205,4515.68,304.96875,4885.94
2007,1249.224286,28.32117792,4826.72,357.445,4707.88,470.785,5006.22
2008,738.7221429,29.49802133,4893.38,266.061,4503.08,315.365,4977.02
2009,1156.743571,29.0920358,5068.53,317.885,4473.622002,382.725,4849.586001
2010,2586.390714,27.89957214,5128.08,623.902,4773.50002,726.9375,5016.52001
2011,1238.89,28.62745408,4153.92,434.572,4766.671126,514.6925,5005.179054
2012,1939.213571,28.33867678,4509.27,252.261,4307.330028,354.2725,4522.981892
2013,735.4485714,29.35072016,4377.35,370.345,4266.044993,461.36,4637.916832
2014,1808.975,28.23494824,4654.99,533.355,4431.043999,472.05625,4873.215956
2015,1357.061429,28.88445979,4243.89,651.316,4556.742,726.11,5075.105996
2016,784.9064286,29.81298631,4411.97,529.213,4361.84,538.55625,5059.61
2017,1006.865714,28.83142909,4705.52,364.449,4131.48,385.95375,4940.89
2018,760.31,29.05429558,4669.56,512.963,4875.15,590.8125,5068.13
2019,1154.954286,28.92884445,4877.03,349.095,5103.41,363.92,5353.32
2020,1262.11,28.96175645,4812.42,615.462,4962.78,618.76375,5307.94
2021,1450.32,28.6963107,4622.48,564.835,4631.91,619.29375,5303.45
2022,1326.200714,28.23610263,3563.77,622.212,3793.34,685.9875,4693.18
2023,1838.819286,28.95989818,3916.56,405.569,4097.74,499.67125,4811.22
