Year,Yala Total Rainfall,Yala Temp Average,Yala Average Of Max Temp,Yala Highest Monthly  Average of Max Temp,Yala Average Of Min Temp,Yala Lowest Monthly  Average of Min Temp
1993,400.6792857,28.41219342,32.39058577,33.2552381,25.55874283,24.98481567
1994,331.47,28.36090118,32.21624334,32.82497696,25.52617102,25.15816667
1995,115.0685714,29.24693024,33.13386009,33.67868664,26.38933999,26.13159524
1996,198.1085714,28.89004531,32.80443395,35.64387097,26.02769675,25.6212212
1997,493.2857143,28.49468792,32.25436508,32.79647465,25.75046953,25.30861905
1998,434.0707143,28.9318373,32.80496134,34.06057143,26.16637698,25.43428571
1999,457.0035714,28.0953181,32.00165796,32.6902381,25.24966692,24.85447619
2000,342.3114286,28.92020341,33.01733999,34.27361751,25.90348835,25.28011521
2001,444.7935714,28.66914299,32.59092665,33.32550691,25.80774642,25.48410138
2002,380.2085714,28.85364567,32.90138863,34.331,25.88838044,25.63103687
2003,331.2242857,28.65547683,32.41797734,33.76454762,25.88807053,25.57407143
2004,466.7735714,28.73182015,32.688202,33.84797235,25.86550294,25.43219048
2005,375.04,28.76378751,32.55514478,33.78407834,25.95321928,25.63080952
2006,380.0592857,28.47340476,32.33275346,33.0935,25.62360932,25.18188095
2007,509.3892857,28.24367127,31.80145737,32.65675115,25.61763338,25.26328571
2008,409.5028571,27.63513902,31.01082962,33.1387381,25.12121621,24.9912619
2009,425.825,28.53067102,32.26600115,33.07640476,25.78605184,25.65397619
2010,777.97,27.91267294,31.13447721,31.87126728,25.55535637,25.05870968
2011,513.1021429,27.68910842,31.1198245,32.5545,25.13834921,24.92095238
2012,453.9921429,28.39459601,32.32013274,33.17898618,25.50961982,25.2912212
2013,533.3121429,27.74238351,31.06737314,32.25621429,25.33226318,24.93827189
2014,478.375,28.71594892,32.64176946,33.58080645,25.92771275,25.55034562
2015,813.9635714,27.82329391,30.97915643,32.25126728,25.52229301,25.22447619
2016,596.2571429,28.83967896,32.83093856,34.44840476,25.99926805,25.50799539
2017,495.0392857,28.65086918,32.58037212,33.24103687,25.80189081,25.2067381
2018,703.1628571,27.76227586,31.16775384,32.61866667,25.29919201,25.00709677
2019,548.0378571,29.08926267,33.19902394,34.5671659,26.13027624,25.07011905
2020,667.9078571,28.36201421,32.05248784,32.66585714,25.72230581,25.07057143
2021,791.8,27.77871928,30.95780863,31.26843318,25.44136956,25.09723502
2022,893.4214286,27.55175461,30.67370148,31.06242857,25.22736278,24.69269048
2023,795.6071429,28.32504096,31.83566679,33.68241935,25.76105799,25.31169048
