Year,Maha Total Rainfall,Maha Temp Average,Maha Average Of Max Temp,Maha Highest Monthly  Average of MaxTemp,Maha Average Of Min Temp,Maha Lowest Monthly  Average of Min Temp
1993,1335.731,25.10749149,28.65922311,30.42070968,22.48450369,21.41177419
1994,403.595,26.58308175,31.77700375,36.42458065,22.88696486,22.10282143
1995,149.891,27.47356437,33.42020452,37.14467742,23.26174115,22.22870968
1996,183.517,27.24591318,33.48938276,37.45632258,22.69875872,21.28210714
1997,648.767,26.72692328,31.50975472,37.00119355,23.17725481,21.89316129
1998,950.762,25.48779538,29.47772491,32.13067742,22.50862581,21.26303226
1999,491.227,26.11389631,30.84313477,35.09990323,22.73234297,21.75764516
2000,634.77,25.87166743,30.72847092,35.76154839,22.26357321,19.94675
2001,649.697,26.02397419,30.55524649,34.84822581,22.79457465,21.46335484
2002,909.002,25.57976121,29.5725069,32.29141935,22.65505236,21.52709677
2003,514.418,26.65437731,31.79200645,35.41335484,22.99667977,21.72906897
2004,885.55,25.63237736,29.65476767,32.80848387,22.70366928,21.28142857
2005,929.282,25.36651503,29.19938118,31.29964516,22.55425836,21.07409677
2006,842.432,25.63572144,30.22183122,35.12767742,22.27294724,21.2453871
2007,1083.655,25.18514598,28.95921975,29.79048387,22.34290722,21.13641935
2008,757.266,25.86431772,30.79109209,33.51593548,22.17655123,20.43014286
2009,838.896,26.0962819,30.72831139,34.68487097,22.67676376,21.26396429
2010,1575.548,25.05385106,28.3314419,30.20522581,22.60071254,21.878
2011,957.719,25.61761477,29.92731409,33.80787097,22.3600634,20.56122581
2012,1758.905,25.41019894,29.04557743,30.6116129,22.66392647,21.68519355
2013,599.745,26.13411756,31.02470233,35.02009677,22.69350214,21.46282143
2014,1403.466,25.28999836,28.92898783,31.05025806,22.57323577,21.04367742
2015,1202.324,25.93763975,29.80677689,33.99816129,23.03764899,21.77109677
2016,674.692,26.10338721,31.16114698,34.21170968,22.44700104,21.072
2017,587.635,26.24853429,31.04362724,33.99890323,22.82024837,20.93109677
2018,708.541,26.07941825,30.68869508,36.22548387,22.62640108,20.83151613
2019,1073.564,26.02485077,30.33633011,35.1203871,22.7890202,21.6793871
2020,1053.078,25.75860561,29.59938342,32.32716129,22.96448251,21.37007143
2021,1224.864,25.64087999,29.365047,31.41812903,22.86815527,21.53907143
2022,1085.916,25.23660808,29.0508232,30.76567742,22.39028295,20.96864286
2023,1496.694,26.19833304,30.04227263,33.14896774,23.37038246,22.3846129
2024,,,,,,
