Year,Maha Total Rainfall,Maha Temp Average,Maha Average Of Max Temp,Maha Highest Monthly  Average of MaxTemp,Maha Average Of Min Temp,Maha Lowest Monthly  Average of Min Temp,Actual Yield (kg/ha),Trend (kg/ha),Detrended Additive (kg/ha),Detrended Multiplicative (kg/ha)
1993,1335.731,25.10749149,28.65922311,30.42070968,22.48450369,21.41177419,3710,3701.238992,8.7610085,1.002367047
1994,403.595,26.58308175,31.77700375,36.42458065,22.88696486,22.10282143,3836.3999,3812.323944,24.075956,1.006315296
1995,149.891,27.47356437,33.42020452,37.14467742,23.26174115,22.22870968,4018.30005,3917.722007,100.578043,1.025672583
1996,183.517,27.24591318,33.48938276,37.45632258,22.69875872,21.28210714,3700,3829.246006,-129.246006,0.966247662
1997,648.767,26.72692328,31.50975472,37.00119355,23.17725481,21.89316129,3989,3954.259002,34.7409985,1.008785716
1998,950.762,25.48779538,29.47772491,32.13067742,22.50862581,21.26303226,4264,4181.79,82.21,1.019659046
1999,491.227,26.11389631,30.84313477,35.09990323,22.73234297,21.75764516,4294,4284.27,9.73,1.002271099
2000,634.77,25.87166743,30.72847092,35.76154839,22.26357321,19.94675,4400,4364.37,35.63,1.008163836
2001,649.697,26.02397419,30.55524649,34.84822581,22.79457465,21.46335484,4474,4433.15,40.85,1.009214667
2002,909.002,25.57976121,29.5725069,32.29141935,22.65505236,21.52709677,4323,4361.44,-38.44,0.991186397
2003,514.418,26.65437731,31.79200645,35.41335484,22.99667977,21.72906897,4341,4346.76,-5.76,0.998674875
2004,885.55,25.63237736,29.65476767,32.80848387,22.70366928,21.28142857,4523,4467,56,1.012536378
2005,929.282,25.36651503,29.19938118,31.29964516,22.55425836,21.07409677,4549,4535.15,13.85,1.003053923
2006,842.432,25.63572144,30.22183122,35.12767742,22.27294724,21.2453871,4520,4537.55,-17.55,0.996132274
2007,1083.655,25.18514598,28.95921975,29.79048387,22.34290722,21.13641935,4726,4643.71,82.29,1.017720745
2008,757.266,25.86431772,30.79109209,33.51593548,22.17655123,20.43014286,4311,4438.25,-127.25,0.97132879
2009,838.896,26.0962819,30.72831139,34.68487097,22.67676376,21.26396429,4633,4566.9,66.1,1.014473713
2010,1575.548,25.05385106,28.3314419,30.20522581,22.60071254,21.878,4924,4804.22,119.78,1.024932247
2011,957.719,25.61761477,29.92731409,33.80787097,22.3600634,20.56122581,4463,4620.89,-157.89,0.965831258
2012,1758.905,25.41019894,29.04557743,30.6116129,22.66392647,21.68519355,4982,4767.45,214.55,1.045003094
2013,599.745,26.13411756,31.02470233,35.02009677,22.69350214,21.46282143,4467,4529.48,-62.48,0.986205922
2014,1403.466,25.28999836,28.92898783,31.05025806,22.57323577,21.04367742,3898,4114.84,-216.84,0.947302933
2015,1202.324,25.93763975,29.80677689,33.99816129,23.03764899,21.77109677,4802,4652.03,149.97,1.032237539
2016,674.692,26.10338721,31.16114698,34.21170968,22.44700104,21.072,4748,4747.16,0.84,1.000176948
2017,587.635,26.24853429,31.04362724,33.99890323,22.82024837,20.93109677,4608,4633.8,-25.8,0.994432215
2018,708.541,26.07941825,30.68869508,36.22548387,22.62640108,20.83151613,4414,4581.12,-167.12,0.963519838
2019,1073.564,26.02485077,30.33633011,35.1203871,22.7890202,21.6793871,5414,5144.22,269.78,1.052443325
2020,1053.078,25.75860561,29.59938342,32.32716129,22.96448251,21.37007143,5574,5469.12,104.88,1.01917676
2021,1224.864,25.64087999,29.365047,31.41812903,22.86815527,21.53907143,5098,5029.48,68.52,1.013623675
2022,1085.916,25.23660808,29.0508232,30.76567742,22.39028295,20.96864286,2873,3672.36,-799.36,0.782330708
2023,1496.694,26.19833304,30.04227263,33.14896774,23.37038246,22.3846129,3849,3758.7,90.3,1.024024264
2024,,,,,,,,,,
